State,2017,2016,2015,2014,2013,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
United States,"61,372","60,309","58,476","55,613","56,479","54,744","54,569","54,673","55,520","57,010","57,412","59,534","58,746","58,291","57,674","57,875","57,947","58,609","59,938","60,062","58,612","56,533","55,394","54,600","52,942","52,334","52,615","53,025","54,621","55,329","54,390","53,945","53,309","51,455","50,511"
AL,"51,113","48,237","46,053","43,820","49,876","43,616","46,490","46,520","46,120","45,789","50,761","50,028","46,255","46,745","47,651","49,774","51,380","48,800","50,566","53,502","54,664","48,794","47,294","41,646","44,626","42,017","44,323","42,852","42,607","40,740","39,852","40,848","40,965","39,941","39,007"
AK,"72,231","77,351","77,717","70,095","76,387","64,439","68,080","62,731","65,178","70,555","73,032","74,657","68,761","70,326","71,632","69,257","72,110","79,616","75,436","75,854","76,408","73,321","82,374","76,837","74,443","71,917","71,791","71,482","71,686","68,919","66,133","68,791","67,138","75,777","72,912"
AZ,"61,125","58,328","54,060","51,050","55,453","53,335","50,320","53,108","52,839","52,385","53,544","55,957","56,864","56,931","57,039","55,000","54,292","59,270","56,788","54,600","55,906","50,018","49,377","49,452","51,349","51,110","50,420","54,101","53,309","54,651","52,811","55,369","54,600","52,019","48,280"
AR,"48,829","46,894","44,282","46,560","41,503","42,075","41,735","45,114","43,477","41,847","45,180","48,349","45,164","46,126","45,511","42,756","44,253","46,272","42,391","43,807","41,700","39,968","42,332","41,362","41,950","38,594","41,015","41,248","41,565","41,025","40,299","38,971","40,104","38,019","35,320"
CA,"69,759","68,070","65,843","62,693","64,078","60,635","60,990","58,292","61,162","64,291","65,071","66,054","67,421","65,122","64,033","65,867","64,817","65,596","66,827","64,391","61,700","60,641","60,576","59,300","57,975","57,078","59,943","59,253","60,726","63,183","60,507","62,401","62,115","58,782","56,983"
CO,"74,172","72,084","68,906","63,162","71,580","66,794","61,242","64,040","67,866","64,057","69,556","72,462","67,882","63,479","66,198","66,722","65,988","68,559","68,860","71,103","70,239","66,048","63,912","65,224","62,081","57,773","55,788","55,442","56,062","51,309","52,370","54,804","58,222","61,398","58,141"
CT,"72,780","77,556","75,417","72,719","73,034","71,442","68,720","71,452","74,361","74,274","73,823","76,017","76,056","71,514","71,680","73,436","72,947","74,042","71,618","74,669","70,102","67,197","65,737","64,482","67,436","66,196","70,141","74,196","70,905","81,007","72,346","68,023","70,061","67,734","67,493"
DE,"62,318","59,294","59,759","59,619","57,013","55,040","52,382","59,704","62,211","59,686","57,867","64,697","63,910","64,468","62,507","65,492","67,841","68,844","71,893","68,817","62,490","65,742","61,351","55,965","58,864","60,413","61,274","57,353","56,191","61,381","60,942","60,534","54,869","50,065","58,181"
FL,"53,681","52,277","50,518","47,822","51,153","50,473","49,279","49,267","49,650","52,261","51,196","54,273","55,669","54,093","52,732","52,068","51,956","50,550","55,465","52,882","52,619","49,582","47,823","47,661","48,069","47,826","46,970","47,967","48,678","49,929","50,756","50,691","48,923","46,499","44,584"
